date,_pm25,year,month,day,PM25,Date
10/2/2016,91,2016,10,2,15.6047619,10/2/2016
10/3/2016,85,2016,10,3,14.59411765,10/3/2016
10/4/2016,93,2016,10,4,13.43666667,10/4/2016
10/5/2016,114,2016,10,5,12.365,10/5/2016
10/6/2016,95,2016,10,6,11.63666667,10/6/2016
10/7/2016,103,2016,10,7,11.53,10/7/2016
10/8/2016,83,2016,10,8,11.24166667,10/8/2016
10/9/2016,93,2016,10,9,11.13,10/9/2016
10/10/2016,113,2016,10,10,11.06,10/10/2016
10/11/2016,88,2016,10,11,11.17666667,10/11/2016
10/12/2016,106,2016,10,12,11.785,10/12/2016
10/13/2016,130,2016,10,13,15.7,10/13/2016
10/14/2016,126,2016,10,14,30.90166667,10/14/2016
10/15/2016,110,2016,10,15,41.6,10/15/2016
10/16/2016,121,2016,10,16,26.875,10/16/2016
10/17/2016,98,2016,10,17,24.59833333,10/17/2016
10/18/2016,98,2016,10,18,19.93666667,10/18/2016
10/19/2016,97,2016,10,19,16.655,10/19/2016
10/20/2016,79,2016,10,20,16.29107143,10/20/2016
10/21/2016,76,2016,10,21,15.32,10/21/2016
10/22/2016,84,2016,10,22,20.24666667,10/22/2016
10/23/2016,110,2016,10,23,20.53833333,10/23/2016
10/24/2016,95,2016,10,24,18.26833333,10/24/2016
10/25/2016,116,2016,10,25,16.67166667,10/25/2016
10/26/2016,120,2016,10,26,15.71166667,10/26/2016
10/27/2016,63,2016,10,27,15.65333333,10/27/2016
10/28/2016,58,2016,10,28,15.595,10/28/2016
10/29/2016,60,2016,10,29,15.18666667,10/29/2016
10/30/2016,34,2016,10,30,15.345,10/30/2016
10/31/2016,51,2016,10,31,15.25833333,10/31/2016
11/1/2016,115,2016,11,1,14.81666667,11/1/2016
11/2/2016,144,2016,11,2,13.85833333,11/2/2016
11/3/2016,55,2016,11,3,13.15166667,11/3/2016
11/4/2016,75,2016,11,4,13.11833333,11/4/2016
11/5/2016,76,2016,11,5,13.555,11/5/2016
